Watching for file changes with StatReloader
[02/May/2026 19:43:53] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:43:53] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:43:53] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:43:53] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:43:53] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:43:53] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:44:03] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:44:03] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:44:04] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:44:04] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:44:04] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:44:04] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:44:05] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:44:05] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:44:07] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:44:07] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:44:09] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:44:09] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:44:12] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:44:12] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:44:12] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:44:12] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:44:12] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:44:12] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:44:14] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:44:14] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:44:15] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:44:15] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
